Token,Difficulty,Frequency_SUC,Length,FreqBlog,FreqTwitter
vara,1,3.3059958827708047,4,4.780389328470952,5.626866745815752
i,1,4.329153710792821,1,5.645983934150314,6.777320882217274
kommun,2,2.0530784434834195,6,2.710117365111816,4.4638183615294285
och,1,4.481743520420445,3,5.94457001577931,6.664758053913259
på,1,4.09981870961523,2,5.701296790126796,6.745588923013182
där,1,3.0993352776859573,3,3.277838333002047,5.434588063662235
även,1,2.9689496809813423,4,4.547934614422378,5.267453341607674
finnas,1,2.2329961103921536,6,3.4334497937615955,4.209729428016204
när,1,3.3447851226326604,3,4.967954936562777,5.8223296016425135
klar,1,2.021189299069938,4,3.599337132992489,4.491515770993197
inom,1,3.0692980121155293,4,2.763427993562937,4.962307762840166
någon,2,2.9122220565324155,5,3.3525683861793083,5.140259713993299
år,2,3.024074987307426,2,3.1826999033360424,5.3762556793054905
komma,1,2.45178643552429,5,2.9921114877869495,4.815265528466542
att,1,4.09485529008368,3,5.555576864383733,6.465590281630343
positionera,3,0.0,11,1.5682017240669948,2.4132997640812515
topp,1,1.1461280356782377,4,3.168497483523032,4.19752865552277
det,1,3.994669021825529,3,5.679536910832304,6.627890278195374
framkomlighet,3,0.30102999566398114,13,0.30102999566398114,2.780317312140151
för,1,4.00060758706289,3,5.409033185079847,6.488899140320251
under,1,3.3234583668494673,5,2.947923619831726,5.390258422528921
denna,1,2.993876914941211,5,3.5081255360831993,5.099145210671408
period,1,1.8633228601204557,6,3.1089031276673134,3.812846536967071
vi,1,3.468495024507069,2,5.164564002449614,6.089938300156023
igenom,2,1.5440680443502754,6,3.453776859690442,4.224429461822697
av,1,4.150879191269238,2,5.314450806596806,6.2994512922384525
den,1,3.8912586169041385,3,4.957784416268064,5.928254990992569
sak,1,2.1522883443830563,3,1.7558748556724912,4.749048008689412
han,1,3.777861624176241,3,4.814527265912847,5.627735464147605
göra,1,2.8055008581584,4,4.570321066141678,5.464617700540117
sen,2,2.173186268412274,3,3.1616674124377355,5.162665949069296
tid,1,2.778874472002739,3,3.330007700872759,5.021900132744867
med,1,4.019324037153691,3,5.489412809064976,6.4414498824311694
sin,2,3.252853030979893,3,3.577031985626031,5.308156604234805
far,1,2.1139433523068365,3,3.1354506993455136,4.227526784937201
som,1,4.106666761969916,3,5.4764446762358485,6.347750833033288
en,1,4.193486359709743,2,5.609862159386805,6.508550860854707
musik,1,2.173186268412274,5,3.565020928345293,4.663992869084197
perfekt,1,1.2041199826559246,7,3.4196253608877427,3.91365493508662
till,1,3.9226735678585536,4,5.347415889779996,6.331763668520684
fin,1,1.6812412373755872,3,1.0791812460476247,4.648164778574
be,1,1.591064607026499,2,3.5947239464097467,5.337249551261864
om,1,3.687261346243506,2,5.056942945672876,6.2893449835350275
värld,1,2.012837224705172,5,3.1986570869544226,4.320042375479645
filosofera,3,0.30102999566398114,10,1.591064607026499,2.1958996524092336
ord,1,2.217483944213906,3,3.5210072524086033,4.663154180511585
ge,1,2.5575072019056577,2,3.3514097519254387,4.791971201020767
de,1,3.7036352375838955,2,4.834140833769334,5.808659219803879
återkomma,1,1.1760912590556811,9,2.615950051656401,3.7339191510123904
information,1,2.1986570869544226,11,3.4053463601757086,4.4021065568272
via,2,2.1986570869544226,3,0.0,5.575527293558594
lokal,1,1.6232492903979003,5,2.484299839346786,3.73917663191073
stress,1,0.9030899869919434,6,2.9827233876685453,3.8270460170047333
bli,1,2.926856708949692,3,4.612328138124974,5.52969080161011
negativ,1,1.3979400086720375,7,2.5428254269591797,3.4240645254174877
kunna,1,2.9122220565324155,5,1.2041199826559246,4.884325142831695
viktig,1,2.2355284469075487,6,3.2164298308762507,4.418748616249573
prata,1,1.7993405494535815,5,1.414973347970818,4.8179684087166015
skola,1,1.7323937598229684,5,3.3077099234048064,4.560169754084999
men,1,3.4598446423882074,3,5.170390810781754,6.062115478216848
